No.,Title,Length,Track,Released,song_id
1,"""Crazy in Love"" (ft. Jay-Z)",3:56,Dangerously in Love,2003,32167
2,"""Naughty Girl""",3:28,Dangerously in Love,2003,141844
3,"""Baby Boy"" (ft. Sean Paul)",4:04,Dangerously in Love,2003,81345
4,"""Hip Hop Star"" (ft. Big Boi & Sleepy Brown)",3:42,Dangerously in Love,2003,141846
5,"""Be with You""",4:20,Dangerously in Love,2003,141847
6,"""Me, Myself and I""",5:01,Dangerously in Love,2003,78135
7,"""Yes""",4:19,Dangerously in Love,2003,141848
8,"""Signs"" (ft. Missy Elliott)",4:58,Dangerously in Love,2003,32796
9,"""Speechless""",6:00,Dangerously in Love,2003,141849
10,"""That's How You Like It"" (ft. Jay-Z)",3:39,Dangerously in Love,2003,32869
11,"""The Closer I Get to You"" (ft. Luther Vandross)",4:57,Dangerously in Love,2003,141850
12,"""Dangerously in Love 2""",4:53,Dangerously in Love,2003,166809
13,"""Beyoncé Interlude""",0:16,Dangerously in Love,2003,435484
14,"""Gift from Virgo""",2:43,Dangerously in Love,2003,435491
15,"""Daddy""",4:57,Dangerously in Love,2003,68426
1,"""Déjà Vu"" (ft. Jay-Z)",4:00,B'Day,2006,32193
2,"""Get Me Bodied""",3:25,B'Day,2006,141831
3,"""Suga Mama""",3:26,B'Day,2006,141833
4,"""Upgrade U"" (ft. Jay-Z)",4:33,B'Day,2006,32950
5,"""Ring the Alarm""",3:23,B'Day,2006,78581
6,"""Kitty Kat""",3:56,B'Day,2006,72523
7,"""Freakum Dress""",3:21,B'Day,2006,131948
8,"""Green Light""",3:30,B'Day,2006,54892
9,"""Irreplaceable""",3:49,B'Day,2006,2441980
10,"""Resentment""",4:42,B'Day,2006,141834
1,"""If I Were a Boy""",4:09,I Am…Sasha Fierce,2008,83613
2,"""Halo""",4:21,I Am…Sasha Fierce,2008,52158
3,"""Disappear""",4:27,I Am…Sasha Fierce,2008,78577
4,"""Broken Hearted Girl""",4:37,I Am…Sasha Fierce,2008,52683
5,"""Ave Maria""",3:42,I Am…Sasha Fierce,2008,55885
6,"""Satellites""",3:06,I Am…Sasha Fierce,2008,75936
7,"""Single Ladies (Put a Ring on It)""",3:13,I Am…Sasha Fierce,2008,50873
8,"""Radio""",3:38,I Am…Sasha Fierce,2008,152213
9,"""Diva""",3:20,I Am…Sasha Fierce,2008,68973
10,"""Sweet Dreams""",3:28,I Am…Sasha Fierce,2008,56878
11,"""Video Phone""",3:35,I Am…Sasha Fierce,2008,1829007
1,"""1+1""",4:33,4,2011,50396
2,"""I Care""",3:59,4,2011,58509
3,"""I Miss You""",2:59,4,2011,58776
4,"""Best Thing I Never Had""",4:13,4,2011,51492
5,"""Party"" (ft. André 3000)",4:05,4,2011,50828
6,"""Rather Die Young""",3:42,4,2011,62840
7,"""Start Over""",3:19,4,2011,71526
8,"""Love On Top""",4:27,4,2011,55067
9,"""Countdown""",3:32,4,2011,51865
10,"""End of Time""",3:43,4,2011,71524
11,"""I Was Here""",3:59,4,2011,73506
12,"""Run the World (Girls)""",3:56,4,2011,52814
1,"""Pretty Hurts""",4:17,Beyoncé,2013,299187
2,"""Haunted""",6:09,Beyoncé,2013,299320
3,"""Drunk in Love"" (ft. Jay-Z)",5:23,Beyoncé,2013,299177
4,"""Blow""",5:09,Beyoncé,2013,299368
5,"""No Angel""",3:48,Beyoncé,2013,299378
6,"""Partition""",5:19,Beyoncé,2013,299325
7,"""Jealous""",3:04,Beyoncé,2013,299338
8,"""Rocket""",6:31,Beyoncé,2013,299253
9,"""Mine"" (ft. Drake)",6:18,Beyoncé,2013,299098
10,"""XO""",3:35,Beyoncé,2013,299317
11,"""Flawless"" (ft. Chimamanda Ngozi Adichie)",4:10,Beyoncé,2013,299370
12,"""Superpower"" (ft. Frank Ocean)",4:36,Beyoncé,2013,299152
13,"""Heaven""",3:50,Beyoncé,2013,299388
14,"""Blue"" (ft. Blue Ivy Carter)",4:26,Beyoncé,2013,299326
1,"""Pray You Catch Me""",3:15,Lemonade,2016,2457299
2,"""Hold Up""",3:41,Lemonade,2016,2461219
3,"""Don't Hurt Yourself"" (ft. Jack White)",3:53,Lemonade,2016,2461230
4,"""Sorry""",3:52,Lemonade,2016,2461226
5,"""6 Inch"" (ft. the Weeknd)",4:20,Lemonade,2016,2461229
6,"""Daddy Lessons""",4:47,Lemonade,2016,2461236
7,"""Love Drought""",3:57,Lemonade,2016,2461238
8,"""Sandcastles""",3:02,Lemonade,2016,2461245
9,"""Forward"" (ft. James Blake)",1:19,Lemonade,2016,2461261
10,"""Freedom"" (ft. Kendrick Lamar)",4:49,Lemonade,2016,2461233
11,"""All Night""",5:21,Lemonade,2016,2461241
12,"""Formation""",3:26,Lemonade,2016,2419257